word,frequency
samsarga,3
sannipata,16
Wf,4
cm,6
termed,10
sapta,8
trimalas,6
Medo,4
Majja,12
tj,5
Cc,3
Dhatus,9
gets,168
dusyas,7
Malas,6
Jivana,3
cavities,12
ingested,17
divides,4
helps,45
produces,161
ones,92
increases,195
visesa,6
decreases,19
alkalines,2
THT,10
perceived,7
vana,24
mitigates,56
tikta,55
usana,3
kasaya,48
madhura,139
katu,83
vardhaka,16
Dosahara,2
Prthivi,12
ap,17
agni,5
Ap,3
dra,10
vyas,5
Alleviates,7
Kopana,2
Vitiates,4
hita,6
maintains,17
Eg,14
reduces,24
gunas,23
Usna,17
fTT,8
fter,2
ausadha,5
ahara,8
pn,3
enumerated,35
Objects,3
sabda,2
sparsa,5
Gurvadi,3
sukha,2
duhkha,2
prayatna,2
predominence,3
apara,2
yukti,3
opposites,3
Ruksa,17
Khara,12
Kathina,3
Sthira,4
Suksma,4
Sthula,6
Visada,3
Picchila,3
vyavayi,6
vikasigunas,2
Vyavayi,4
undergoes,12
harms,3
loosening,2
quoted,8
vikasi,2
utilisation,7
mithyayoga,6
atiyoga,6
objects,42
samyak,6
results,40
skandha,21
aetiology,3
Parinama,3
Asatmyendriyartha,3
samyoga,10
Prajnaparadha,5
Asatmendriyartha,2
Hinayoga,6
ageing,4
ksut,3
Purvarupa,4
samprapti,4
kopana,2
brings,49
Mithyayoga,7
Atiyoga,7
tl,79
Indriyartha,2
Sabda,4
Sparsa,2
Gandha,6
sounds,20
smells,5
things,102
quantities,11
Activities,3
groups,69
Nijarogas,2
rogas,7
abhighata,3
receptacles,6
Rajas,25
trigunas,7
examined,10
Darsana,4
Prasna,2
diagnosed,8
Prag,2
Upasaya,2
Anupasaya,2
Samprapti,2
denotes,11
meanings,13
Bh,2
umi,2
anupa,11
sadharana,6
regions,41
jangala,7
kalas,4
Panchakarma,8
adopting,13
relapsation,2
manasika,6
medicated,105
vireka,5
ghrta,76
madhu,21
Vireka,3
XR,3
Dhi,3
dhairya,2
atmadi,2
limbs,93
Bhisak,3
Upasthata,3
Having,27
Bahukalpam,3
preparations,137
swarasa,4
kalka,10
curna,10
powd,2
kwatha,2
utilised,3
altering,3
rds,3
thoughts,3
nfN,2
Hfa,2
hya,2
events,5
ailments,8
Sattvawan,2
Patients,14
situations,4
equipped,10
occupies,14
prescribing,3
Sut,26
Roga,6
Sadhya,4
Asadhya,3
Sukha,4
sadhya,6
Yapya,5
Anupakrama,2
irreversable,2
Pd,5
rMH,2
complica,3
dusya,4
