IAST_normalized,ASCII
apraharṣaṇam,apraharshanam
āptopadeśaḥ,aaptopadeshah
apunarbhava,apunarbhava
apūpaḥ,apuupah
ārāśastram,aaraashastram
aratniḥ,aratnih
aratniḥ,aratnih
arbudaḥ,arbudah
ardhacandramaṇḍalavat_chedaḥ,ardhacandramandalavat_chedah
ardhadhāraśastram,ardhadhaarashastram
ardhakapāṭasandhika,ardhakapaatasandhika
ardhāvabhedakaḥ,ardhaavabhedakah
arditaḥ,arditah
ariṣṭa_bandhanam_(viṣopakramaḥ),arishta_bandhanam_(vishopakramah)
ariṣṭalakṣaṇam,arishtalakshanam
arjunaḥ,arjunah
arkayantram,arkayantram
arocakaḥ,arocakah
arocakārtasya_anuvāsanasya_vyāpadaḥ,arocakaartasya_anuvaasanasya_vyaapadah
ārogyam,aarogyam
arśaḥ,arshah
arśasasya_anuvāsanasya_vyāpadaḥ,arshasasya_anuvaasanasya_vyaapadah
arśovartma,arshovartma
ārtasyaroganut,aartasyaroganut
ārtavajananam,aartavajananam
ārtavakṣayaḥ,aartavakshayah
ārtavam,aartavam
ārtavaśoṇitam,aartavashonitam
ārtavavaha_srotas,aartavavaha_srotas
ārtavavahasrotoduṣṭiḥ,aartavavahasrotodushtih
ārtavavahasrotoviddhaḥ,aartavavahasrotoviddhah
ārtavavaiṣamyam,aartavavaishamyam
ārtavavṛddhiḥ,aartavavriddhih
arthaḥ,arthah
arthaḥ,arthah
arthāntaram,arthaantaram
arthāpattiḥ,arthaapattih
arthaprāptiḥ,arthapraaptih
arthāśrayaḥ,arthaashrayah
arūṃṣikā,aruumshikaa
aruṇa_sirā,aruna_siraa
aruṇakuṣṭhaḥ,arunakushthah
asādhya_koṣṭhabhedaḥ,asaadhya_koshthabhedah
asādhya_savraṇaśukraḥ,asaadhya_savranashukrah
asādhyarogaḥ,asaadhyarogah
asamavāyi_kāraṇam,asamavaayi_kaaranam
āsaṅgima,aasangima
āsannaprasavaḥ,aasannaprasavah
aśastrakṛt_rogaḥ,ashastrakrit_rogah
asātmyendriyārthasamyogaḥ,asaatmyendriyaarthasamyogah
āśayaḥ,aashayah
āśayāpakarṣaḥ,aashayaapakarshah
āścyotana_apacāraḥ,aashcyotana_apacaarah
āścyotana_ayogaḥ,aashcyotana_ayogah
āścyotanam,aashcyotanam
āścyotanātiyogaḥ,aashcyotanaatiyogah
āsekyaḥ,aasekyah
aśitam,ashitam
aśmaghanasvedaḥ,ashmaghanasvedah
aśmanoḥsaṃghaṭṭanaṃ_karṇayormūle,ashmanohsamghattanam_karnayormuule
aśmarī,ashmarii
aśmarī_pūrvarūpam,ashmarii_puurvaruupam
aśmarījamūtrakṛcchram,ashmariijamuutrakricchram
aśophapākaḥ,ashophapaakah
asraviśodhanaḥ,asravishodhanah
asravisrutiḥ,asravisrutih
asṛgdaraḥ,asrigdarah
asṛgdharā,asrigdharaa
asṛggatavātaḥ,asriggatavaatah
asṛgvahā,asrigvahaa
asṛjapūrṇakoṣṭhadāhaḥ,asrijapuurnakoshthadaahah
aśruḥ,ashruh
aśrumārgaḥ,ashrumaargah
aśrunigrahaja_udāvartaḥ,ashrunigrahaja_udaavartah
aśruvāhinī,ashruvaahinii
aśruvegarodhaḥ,ashruvegarodhah
aṣṭamamāsa_garbha:,ashtamamaasa_garbha:
Aṣṭāṅgahṛdaya,aṣṭāṅgahridaya
Aṣṭāṅgasamgraha,aṣṭāṅgasamgraha
aṣṭāṅgāyurvedaḥ,ashtaangaayurvedah
aṣṭasthānaparīkṣā,ashtasthaanapariikshaa
aṣṭavidhaśastrakarma,ashtavidhashastrakarma
āsthāpanabastiḥ,aasthaapanabastih
āsthāpanāpacāraḥ,aasthaapanaapacaarah
asthi,asthi
asthi_dhātuḥ,asthi_dhaatuh
asthi_sāraḥ,asthi_saarah
asthidhātugatajvaraḥ,asthidhaatugatajvarah
asthidhātvagniḥ,asthidhaatvagnih
asthigata_śalyaḥ,asthigata_shalyah
asthigatamasūrikā,asthigatamasuurikaa
asthigatavātaḥ,asthigatavaatah
asthijālam,asthijaalam
asthikhaṇḍaḥ,asthikhandah
asthikṣayaḥ,asthikshayah
aṣṭhīlikā,ashthiilikaa
